stimulusType;stimulusValue;stimulusValueType;correctResponse;keyCode;keyLabel;keyLabelType;response;keyIndex
incongruent;aaataaa.png;image;consonant;ArrowRight;Consonant;text;consonant;1
incongruent;eeeseee.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;ssstsss.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;aaaeaaa.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;eeeseee.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;eeeaeee.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;eeeaeee.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;aaataaa.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;eeeaeee.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;aaataaa.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;ssstsss.png;image;consonant;ArrowRight;Consonant;text;consonant;1
incongruent;sssesss.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;sssesss.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;tttsttt.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;aaaeaaa.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;eeeaeee.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;tttsttt.png;image;consonant;ArrowRight;Consonant;text;consonant;1
congruent;aaaeaaa.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
congruent;aaaeaaa.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;tttattt.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
incongruent;tttattt.png;image;vowel;ArrowLeft;Vowel;text;vowel;0
